splitter,random_state,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,MCC,F1,Cust_metric,F1_class_2
random,65,2,11,log2,20,gini,0.3328046217311437,0.4016356933683552,0.14649567177752104,0.01955475627088658
random,1,42,61,log2,10,entropy,0.23821830719168377,0.34052118327358366,0.11059654746152814,0.0
random,65,52,91,sqrt,,entropy,0.3710038044868815,0.41573653231349955,0.14329004381269597,0.0
best,1,92,31,log2,28,entropy,0.35047501312784934,0.40640894655908744,0.14039590671868513,0.0
best,193,92,11,sqrt,28,entropy,0.39450766197866893,0.4402843052063954,0.18127719234001796,0.043090505447793796
random,65,92,61,sqrt,4,entropy,0.18505685276839692,0.27241832848894193,0.05411506313578307,0.0
best,1,2,31,sqrt,6,gini,0.2503610242374165,0.3274687873478299,0.07850612560317394,0.0
random,65,32,21,sqrt,24,gini,0.38877585151626876,0.43334787879930103,0.16959017785772582,0.025929172272421395
best,129,62,61,sqrt,20,entropy,0.3827306503186699,0.4238125029503826,0.1520779279715008,0.004897050639955482
random,193,72,81,log2,28,gini,0.3467310565548282,0.39750402431654286,0.12394686196790877,0.0
random,129,62,11,sqrt,28,gini,0.3854675779700723,0.4354026144305155,0.176794734209896,0.03568007762571523
best,129,72,71,sqrt,30,gini,0.37875034249416273,0.4202957378421872,0.1466633669671397,0.0
best,193,12,61,log2,28,gini,0.34156368210527166,0.39298886665472343,0.11995819721335103,0.0
best,129,2,1,sqrt,22,entropy,0.3708708832166012,0.440950512662436,0.20604045275231156,0.09602931626962853
best,193,22,41,log2,10,entropy,0.2714302144071161,0.3373205245508916,0.09481617193862363,0.0
best,65,52,1,sqrt,20,entropy,0.3913591117874291,0.44375634261774516,0.1938855148164739,0.06811803056540107
random,65,32,31,sqrt,28,gini,0.3904576577399815,0.43187023293470733,0.16495457903558255,0.025478772399457412
random,1,22,21,log2,8,gini,0.1988886263782674,0.2998443830959934,0.07120172839147487,0.0
best,65,82,1,sqrt,30,entropy,0.39325266782140944,0.44446939498910254,0.19182975106961794,0.06204925181305254
random,193,42,81,sqrt,22,gini,0.35048980580864103,0.40416171442289817,0.13452383639307033,0.01079607860599044
random,65,12,41,log2,24,gini,0.3464726064731765,0.39963653805781413,0.12877188722276625,0.0029102305798074765
best,129,82,51,sqrt,18,gini,0.37498031389070574,0.4169390028429713,0.14472343330830845,0.007218136018611078
random,65,72,11,sqrt,28,entropy,0.3866145953241573,0.4360046598460953,0.17784859610422823,0.040461310941297964
random,193,32,51,sqrt,8,gini,0.1853383509891149,0.2953570544867847,0.056714560808407366,0.0
best,193,62,11,sqrt,8,gini,0.3170873199960074,0.36143197275656086,0.09470527215276907,0.002716468590831918
random,65,22,51,log2,2,gini,0.05709460815293868,0.1681445176707239,0.0,0.0
random,129,92,1,sqrt,28,entropy,0.38445294713123884,0.4401482494920894,0.18965957223771357,0.06039539700367321
best,193,72,51,log2,28,entropy,0.3368892894866216,0.3960516882463896,0.13031234609666942,0.0
random,193,42,61,sqrt,30,entropy,0.3784681264010575,0.421905550495342,0.1515743838841197,0.008959259702314553
best,1,92,91,sqrt,20,gini,0.38516534246326256,0.421492833043911,0.14494059439884407,0.0
best,65,52,21,sqrt,22,gini,0.39243930528248766,0.435996337924768,0.17373198851115693,0.0404840565722333
best,1,2,41,sqrt,12,gini,0.353368769863495,0.4044637847554006,0.13875580586981578,0.013255785691879565
random,1,62,71,sqrt,18,entropy,0.36313527720249467,0.4127339062388109,0.14300739073431304,0.0
best,65,2,11,log2,2,entropy,0.018037268402013223,0.18748886272525075,0.0,0.0
random,1,82,71,sqrt,6,entropy,0.23914920590602531,0.3172764914945761,0.07133443958243425,0.0
random,65,32,1,log2,22,entropy,0.33424945734718564,0.40764008489737297,0.16279301325322457,0.037739958181130656
random,193,92,81,sqrt,20,gini,0.3653512969326506,0.4154448076046156,0.14871355125916647,0.017239626047762243
random,1,82,71,log2,26,gini,0.34618209730113847,0.40141251858530286,0.13358196226391522,0.0
best,129,12,21,log2,16,gini,0.33544710124487825,0.40139862605899473,0.14114848815851325,0.004549621563112415
random,193,52,91,log2,26,entropy,0.3374597537562187,0.39428740058482553,0.1258127073147726,0.0
random,193,72,81,sqrt,16,entropy,0.3632889638990724,0.4090937965049714,0.13548808029902296,0.0
best,193,62,61,sqrt,4,gini,0.25406668206777167,0.296172927208698,0.00330232027095519,0.0
best,193,52,71,sqrt,10,gini,0.307085829287969,0.37027559656934633,0.10700765543650777,0.0
random,1,12,31,log2,6,gini,0.16187232255481024,0.2792157623702688,0.044340280504300666,0.0
best,129,22,51,log2,28,gini,0.3373986463045344,0.39875862708401294,0.13317661873357328,0.0011310937676733402
random,193,32,1,sqrt,26,gini,0.37948091223841635,0.4446865889138965,0.20707427533673664,0.09367159309232014
best,193,12,21,log2,20,gini,0.3409693459185152,0.39989516816350507,0.13613342369820372,0.008230289541971176
best,1,62,1,sqrt,14,gini,0.38462492030198403,0.430621663584412,0.1683430490718866,0.029836639331180265
best,193,62,71,sqrt,18,gini,0.3770023683530976,0.4184999851324182,0.1478584107412468,0.014303282453848687
random,1,62,31,log2,2,entropy,0.0356830404053492,0.15662837485854103,0.0,0.0
random,193,42,11,log2,14,gini,0.328332382517959,0.3877982230637847,0.12540114716812747,0.01208121555034545
best,193,92,91,log2,30,entropy,0.3160359286830328,0.3816280366524943,0.11618393863889953,0.007385028533064786
best,129,52,51,sqrt,20,entropy,0.38143265858047476,0.42178377286213425,0.14830184163124535,0.0
random,65,22,41,log2,6,gini,0.12365733352736082,0.24922459249539505,0.031852324471068304,0.0
random,65,92,41,log2,16,gini,0.31307257411484307,0.38788363802063436,0.13264594610296637,0.014487525459435024
