criterion,max_depth,max_features,min_samples_leaf,min_samples_split,random_state,splitter,score
gini,,sqrt,1,1,128,best,0.13141871904557978
gini,,sqrt,1,1,128,random,0.12207793220453043
gini,,sqrt,1,2,128,best,0.13141871904557978
gini,,sqrt,1,2,128,random,0.12207793220453043
gini,,sqrt,1,4,128,best,0.1319538937441592
gini,,sqrt,1,4,128,random,0.1288942432344491
gini,,sqrt,1,8,128,best,0.12241624262228927
gini,,sqrt,1,8,128,random,0.13094351849637262
gini,,sqrt,1,16,128,best,0.12718265231716144
gini,,sqrt,1,16,128,random,0.11962068151729323
gini,,sqrt,1,32,128,best,0.10641033672862066
gini,,sqrt,1,32,128,random,0.09230054508221212
gini,,sqrt,1,64,128,best,0.0769225414070527
gini,,sqrt,1,64,128,random,0.08159163864498131
gini,,sqrt,1,128,128,best,0.03849609978826554
gini,,sqrt,1,128,128,random,0.05184191117740769
gini,,sqrt,1,256,128,best,0.020172953553812146
gini,,sqrt,1,256,128,random,0.023946509250943573
gini,,sqrt,2,1,128,best,0.13523371257985636
gini,,sqrt,2,1,128,random,0.13503121607674773
gini,,sqrt,2,2,128,best,0.13523371257985636
gini,,sqrt,2,2,128,random,0.13503121607674773
gini,,sqrt,2,4,128,best,0.13523371257985636
gini,,sqrt,2,4,128,random,0.13503121607674773
gini,,sqrt,2,8,128,best,0.11722280713978417
gini,,sqrt,2,8,128,random,0.1222886127361615
gini,,sqrt,2,16,128,best,0.10895629706518722
gini,,sqrt,2,16,128,random,0.11991850457892743
gini,,sqrt,2,32,128,best,0.10048769546633735
gini,,sqrt,2,32,128,random,0.09163214072159305
gini,,sqrt,2,64,128,best,0.08030744223033025
gini,,sqrt,2,64,128,random,0.07880696667053182
gini,,sqrt,2,128,128,best,0.04906633078217382
gini,,sqrt,2,128,128,random,0.05062948683528485
gini,,sqrt,2,256,128,best,0.02502144851525795
gini,,sqrt,2,256,128,random,0.018514909234366075
gini,,sqrt,4,1,128,best,0.10878063210025656
gini,,sqrt,4,1,128,random,0.11083124140462826
gini,,sqrt,4,2,128,best,0.10878063210025656
gini,,sqrt,4,2,128,random,0.11083124140462826
gini,,sqrt,4,4,128,best,0.10878063210025656
gini,,sqrt,4,4,128,random,0.11083124140462826
gini,,sqrt,4,8,128,best,0.10878063210025656
gini,,sqrt,4,8,128,random,0.11083124140462826
gini,,sqrt,4,16,128,best,0.0936732429409383
gini,,sqrt,4,16,128,random,0.09697997821123132
gini,,sqrt,4,32,128,best,0.08340820679331147
gini,,sqrt,4,32,128,random,0.0954029036588771
gini,,sqrt,4,64,128,best,0.06601319833002328
gini,,sqrt,4,64,128,random,0.06706544135069241
gini,,sqrt,4,128,128,best,0.0372883712847715
gini,,sqrt,4,128,128,random,0.055042955979483076
gini,,sqrt,4,256,128,best,0.03230792226901759
gini,,sqrt,4,256,128,random,0.02134573903222724
gini,,sqrt,8,1,128,best,0.06493737417184177
gini,,sqrt,8,1,128,random,0.07045089776247156
gini,,sqrt,8,2,128,best,0.06493737417184177
gini,,sqrt,8,2,128,random,0.07045089776247156
gini,,sqrt,8,4,128,best,0.06493737417184177
gini,,sqrt,8,4,128,random,0.07045089776247156
gini,,sqrt,8,8,128,best,0.06493737417184177
