colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,subsample,score
0.5,0,0.01,4,1,50,0.5,0.7570880051922768
0.5,0,0.01,4,1,50,0.7,0.7568259701116881
0.5,0,0.01,4,1,50,1.0,0.7575815467899544
0.5,0,0.01,4,1,100,0.5,0.7625159871809432
0.5,0,0.01,4,1,100,0.7,0.7617963739228814
0.5,0,0.01,4,1,100,1.0,0.7620055431000132
0.5,0,0.01,4,1,200,0.5,0.7673378128765785
0.5,0,0.01,4,1,200,0.7,0.7668969177803141
0.5,0,0.01,4,1,200,1.0,0.7672770675651109
0.5,0,0.01,4,5,50,0.5,0.7570607460596886
0.5,0,0.01,4,5,50,0.7,0.7568421759225363
0.5,0,0.01,4,5,50,1.0,0.7575520198968908
0.5,0,0.01,4,5,100,0.5,0.7625688126924169
0.5,0,0.01,4,5,100,0.7,0.7617373494209753
0.5,0,0.01,4,5,100,1.0,0.7619827912461453
0.5,0,0.01,4,5,200,0.5,0.7673098703845175
0.5,0,0.01,4,5,200,0.7,0.7669563080883867
0.5,0,0.01,4,5,200,1.0,0.7671464476894908
0.5,0,0.01,4,10,50,0.5,0.7570061240200499
0.5,0,0.01,4,10,50,0.7,0.7568806577975246
0.5,0,0.01,4,10,50,1.0,0.7575482659940329
0.5,0,0.01,4,10,100,0.5,0.7622839017207274
0.5,0,0.01,4,10,100,0.7,0.7617587377804607
0.5,0,0.01,4,10,100,1.0,0.7619234070872429
0.5,0,0.01,4,10,200,0.5,0.767255514612061
0.5,0,0.01,4,10,200,0.7,0.7669091419299364
0.5,0,0.01,4,10,200,1.0,0.7669447490954294
0.5,0,0.01,8,1,50,0.5,0.7755401883855789
0.5,0,0.01,8,1,50,0.7,0.7756166970795135
0.5,0,0.01,8,1,50,1.0,0.7748566412931069
0.5,0,0.01,8,1,100,0.5,0.7787986445529252
0.5,0,0.01,8,1,100,0.7,0.7786920337102102
0.5,0,0.01,8,1,100,1.0,0.77850841917052
0.5,0,0.01,8,1,200,0.5,0.7815496956250181
0.5,0,0.01,8,1,200,0.7,0.7817723983951304
0.5,0,0.01,8,1,200,1.0,0.7811947194946747
0.5,0,0.01,8,5,50,0.5,0.7748935999114464
0.5,0,0.01,8,5,50,0.7,0.7753876725014827
0.5,0,0.01,8,5,50,1.0,0.7748216648758429
0.5,0,0.01,8,5,100,0.5,0.778229601033556
0.5,0,0.01,8,5,100,0.7,0.7783388637135847
0.5,0,0.01,8,5,100,1.0,0.7782860294584264
0.5,0,0.01,8,5,200,0.5,0.7807633160510706
0.5,0,0.01,8,5,200,0.7,0.781100007727979
0.5,0,0.01,8,5,200,1.0,0.780874408837504
0.5,0,0.01,8,10,50,0.5,0.7743105751660045
0.5,0,0.01,8,10,50,0.7,0.7750077644035662
0.5,0,0.01,8,10,50,1.0,0.7742573626043052
0.5,0,0.01,8,10,100,0.5,0.777415400698355
0.5,0,0.01,8,10,100,0.7,0.777946314898656
0.5,0,0.01,8,10,100,1.0,0.7781096234710935
0.5,0,0.01,8,10,200,0.5,0.7800849463537657
0.5,0,0.01,8,10,200,0.7,0.7805877540748586
0.5,0,0.01,8,10,200,1.0,0.7805329660251088
0.5,0,0.01,16,1,50,0.5,0.7832336557663866
0.5,0,0.01,16,1,50,0.7,0.7840540049822206
0.5,0,0.01,16,1,50,1.0,0.7844617227615075
0.5,0,0.01,16,1,100,0.5,0.7852401032037782
0.5,0,0.01,16,1,100,0.7,0.7856307140300242
0.5,0,0.01,16,1,100,1.0,0.7855409899323708
0.5,0,0.01,16,1,200,0.5,0.7873520075842988
0.5,0,0.01,16,1,200,0.7,0.7873491704561281
0.5,0,0.01,16,1,200,1.0,0.7867997008377049
0.5,0,0.01,16,5,50,0.5,0.7819659324704902
0.5,0,0.01,16,5,50,0.7,0.782815521672196
0.5,0,0.01,16,5,50,1.0,0.7830558129878481
0.5,0,0.01,16,5,100,0.5,0.7838186116082051
0.5,0,0.01,16,5,100,0.7,0.7845102557904142
0.5,0,0.01,16,5,100,1.0,0.7851229089998689
0.5,0,0.01,16,5,200,0.5,0.7866907024393099
0.5,0,0.01,16,5,200,0.7,0.7868854433513391
0.5,0,0.01,16,5,200,1.0,0.786864438852097
0.5,0,0.01,16,10,50,0.5,0.7798339553609824
0.5,0,0.01,16,10,50,0.7,0.7809750546737938
0.5,0,0.01,16,10,50,1.0,0.7821002195238068
0.5,0,0.01,16,10,100,0.5,0.7824366606106686
0.5,0,0.01,16,10,100,0.7,0.7835855015644535
0.5,0,0.01,16,10,100,1.0,0.7842836831833667
0.5,0,0.01,16,10,200,0.5,0.7852417466169005
0.5,0,0.01,16,10,200,0.7,0.7859969928990123
0.5,0,0.01,16,10,200,1.0,0.7863901216415757
0.5,0,0.01,32,1,50,0.5,0.7841463632920581
0.5,0,0.01,32,1,50,0.7,0.7853648736940658
0.5,0,0.01,32,1,50,1.0,0.7857520371405302
0.5,0,0.01,32,1,100,0.5,0.7858840986023473
0.5,0,0.01,32,1,100,0.7,0.7867393181356336
0.5,0,0.01,32,1,100,1.0,0.785888846148367
0.5,0,0.01,32,1,200,0.5,0.787841043167785
0.5,0,0.01,32,1,200,0.7,0.7878104398578004
0.5,0,0.01,32,1,200,1.0,0.7869998196715219
0.5,0,0.01,32,5,50,0.5,0.7825087171317436
0.5,0,0.01,32,5,50,0.7,0.7836058728191381
0.5,0,0.01,32,5,50,1.0,0.7841793495738423
0.5,0,0.01,32,5,100,0.5,0.7847700154960539
0.5,0,0.01,32,5,100,0.7,0.7854184450121707
0.5,0,0.01,32,5,100,1.0,0.7856603787178242
0.5,0,0.01,32,5,200,0.5,0.7870584963144629
0.5,0,0.01,32,5,200,0.7,0.7872304314506459
0.5,0,0.01,32,5,200,1.0,0.7877171228250687
0.5,0,0.01,32,10,50,0.5,0.7804635482534583
0.5,0,0.01,32,10,50,0.7,0.7818514220151943
0.5,0,0.01,32,10,50,1.0,0.7831013246475355
0.5,0,0.01,32,10,100,0.5,0.7826225208568941
0.5,0,0.01,32,10,100,0.7,0.7840258193274914
0.5,0,0.01,32,10,100,1.0,0.7847468914552888
0.5,0,0.01,32,10,200,0.5,0.7855142654844749
0.5,0,0.01,32,10,200,0.7,0.7866185610670806
0.5,0,0.01,32,10,200,1.0,0.7870901799113796
0.5,0,0.01,64,1,50,0.5,0.784507515282247
0.5,0,0.01,64,1,50,0.7,0.785613985745781
0.5,0,0.01,64,1,50,1.0,0.7856295475912449
0.5,0,0.01,64,1,100,0.5,0.7858821121915308
0.5,0,0.01,64,1,100,0.7,0.7864909998753973
0.5,0,0.01,64,1,100,1.0,0.7860227359209686
0.5,0,0.01,64,1,200,0.5,0.7877950283498114
0.5,0,0.01,64,1,200,0.7,0.7876621003575112
0.5,0,0.01,64,1,200,1.0,0.7865561112856172
0.5,0,0.01,64,5,50,0.5,0.7825096602236274
0.5,0,0.01,64,5,50,0.7,0.7837735119817211
0.5,0,0.01,64,5,50,1.0,0.7841751794454064
0.5,0,0.01,64,5,100,0.5,0.7847035022801986
0.5,0,0.01,64,5,100,0.7,0.7853750852332683
0.5,0,0.01,64,5,100,1.0,0.7855642411461874
0.5,0,0.01,64,5,200,0.5,0.787111918159372
0.5,0,0.01,64,5,200,0.7,0.7874988153802405
0.5,0,0.01,64,5,200,1.0,0.7875725051260174
0.5,0,0.01,64,10,50,0.5,0.7804635233422442
0.5,0,0.01,64,10,50,0.7,0.7818756600670286
0.5,0,0.01,64,10,50,1.0,0.7830649937037742
0.5,0,0.01,64,10,100,0.5,0.7826489344290648
0.5,0,0.01,64,10,100,0.7,0.7840078870383335
0.5,0,0.01,64,10,100,1.0,0.7848794570352097
0.5,0,0.01,64,10,200,0.5,0.7854478895281473
0.5,0,0.01,64,10,200,0.7,0.7865847058249394
0.5,0,0.01,64,10,200,1.0,0.7871027934815183
0.5,0,0.1,4,1,50,0.5,0.7721404314935953
0.5,0,0.1,4,1,50,0.7,0.773144360997894
0.5,0,0.1,4,1,50,1.0,0.7732982936430829
0.5,0,0.1,4,1,100,0.5,0.779009882955409
0.5,0,0.1,4,1,100,0.7,0.7796480878118536
0.5,0,0.1,4,1,100,1.0,0.77927891626502
0.5,0,0.1,4,1,200,0.5,0.7839192202702585
0.5,0,0.1,4,1,200,0.7,0.7845397813999412
0.5,0,0.1,4,1,200,1.0,0.7837730865013426
0.5,0,0.1,4,5,50,0.5,0.7724639678273486
0.5,0,0.1,4,5,50,0.7,0.7730450190248153
0.5,0,0.1,4,5,50,1.0,0.7734158273054105
0.5,0,0.1,4,5,100,0.5,0.779556618648491
0.5,0,0.1,4,5,100,0.7,0.7796426421848506
0.5,0,0.1,4,5,100,1.0,0.7794878253342766
0.5,0,0.1,4,5,200,0.5,0.7840976359691849
0.5,0,0.1,4,5,200,0.7,0.7843831140056486
0.5,0,0.1,4,5,200,1.0,0.7836621470640365
0.5,0,0.1,4,10,50,0.5,0.7720624648072058
0.5,0,0.1,4,10,50,0.7,0.7732563119462931
0.5,0,0.1,4,10,50,1.0,0.7736664034822177
0.5,0,0.1,4,10,100,0.5,0.7791764533883138
0.5,0,0.1,4,10,100,0.7,0.7801894613778483
0.5,0,0.1,4,10,100,1.0,0.7796010310036815
0.5,0,0.1,4,10,200,0.5,0.7842764489235007
0.5,0,0.1,4,10,200,0.7,0.784289788626292
0.5,0,0.1,4,10,200,1.0,0.7840487097656
0.5,0,0.1,8,1,50,0.5,0.7838359329981849
0.5,0,0.1,8,1,50,0.7,0.7846432904801407
0.5,0,0.1,8,1,50,1.0,0.7846519241596096
0.5,0,0.1,8,1,100,0.5,0.7871171879921768
0.5,0,0.1,8,1,100,0.7,0.78749177484044
