C,class_weight,max_iter,multi_class,penalty,solver,l1_ratio,accuracy,F1_class_1,recall_class_1,precision_class_1,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,roc_auc,matthews_corrcoef,Cust_metric
0.001,balanced,1000,ovr,l1,liblinear,,0.7421603814824804,0.5226295904306201,0.7692747960928217,0.3957456993682769,0.6649729884130662,0.7421603814824804,0.8354077723881429,0.7526712701211338,0.7421603814824804,0.7421603814824804,0.6730059765756566,0.7421603814824804,0.7682019988800391,0.8302287234714675,0.4083328615914358,0.6429306993466494
0.001,balanced,1000,ovr,l1,saga,,0.7424361001234239,0.5228270344572215,0.7690601196673961,0.3960291898140669,0.6651022574297049,0.7424361001234239,0.8354394121536556,0.7527568885255861,0.7424361001234239,0.7424361001234239,0.6732205195076544,0.742436100123424,0.768427366135133,0.8302564040898918,0.4085620044906351,0.6431418224975678
0.001,balanced,10000,ovr,l1,liblinear,,0.7421603814824804,0.5226295904306201,0.7692747960928217,0.3957456993682769,0.6649729884130662,0.7421603814824804,0.8354077723881429,0.7526712701211338,0.7421603814824804,0.7421603814824804,0.6730059765756566,0.7421603814824804,0.7682019988800391,0.8302287234714675,0.4083328615914358,0.6429306993466494
0.001,balanced,10000,ovr,l1,saga,,0.7424361001234239,0.5228270344572215,0.7690601196673961,0.3960291898140669,0.6651022574297049,0.7424361001234239,0.8354394121536556,0.7527568885255861,0.7424361001234239,0.7424361001234239,0.6732205195076544,0.742436100123424,0.768427366135133,0.8302564040898918,0.4085620044906351,0.6431418224975678
0.001,balanced,100000,ovr,l1,liblinear,,0.7421603814824804,0.5226295904306201,0.7692747960928217,0.3957456993682769,0.6649729884130662,0.7421603814824804,0.8354077723881429,0.7526712701211338,0.7421603814824804,0.7421603814824804,0.6730059765756566,0.7421603814824804,0.7682019988800391,0.8302287234714675,0.4083328615914358,0.6429306993466494
0.001,balanced,100000,ovr,l1,saga,,0.7424361001234239,0.5228270344572215,0.7690601196673961,0.3960291898140669,0.6651022574297049,0.7424361001234239,0.8354394121536556,0.7527568885255861,0.7424361001234239,0.7424361001234239,0.6732205195076544,0.742436100123424,0.768427366135133,0.8302564040898918,0.4085620044906351,0.6431418224975678
0.001,,1000,ovr,l1,liblinear,,0.8298942817567383,0.2675590082928907,0.1693406470256958,0.637053831129462,0.738417655824337,0.8298942817567383,0.802586194969488,0.5738309953313689,0.8298942817567383,0.8298942817567383,0.585666016678998,0.8298942817567383,0.7870441863400283,0.8140460317373335,0.2653495868167201,0.5220446150017765
0.001,,1000,ovr,l1,saga,,0.8327381298983719,0.2751137540427103,0.1730044825176502,0.6714881710343605,0.7561138369434056,0.8327381298983719,0.8096862556142067,0.5769927044586551,0.8327381298983719,0.8327381298983719,0.5902878662535683,0.8327381298983719,0.7898093731802404,0.8166323981139256,0.2808401377116636,0.5272530438113967
0.001,,10000,ovr,l1,liblinear,,0.8298942817567383,0.2675590082928907,0.1693406470256958,0.637053831129462,0.738417655824337,0.8298942817567383,0.802586194969488,0.5738309953313689,0.8298942817567383,0.8298942817567383,0.585666016678998,0.8298942817567383,0.7870441863400283,0.8140460317373335,0.2653495868167201,0.5220446150017765
0.001,,10000,ovr,l1,saga,,0.8327381298983719,0.2751137540427103,0.1730044825176502,0.6714881710343605,0.7561138369434056,0.8327381298983719,0.8096862556142067,0.5769927044586551,0.8327381298983719,0.8327381298983719,0.5902878662535683,0.8327381298983719,0.7898093731802404,0.8166323981139256,0.2808401377116636,0.5272530438113967
