C,class_weight,max_iter,multi_class,penalty,solver,l1_ratio,accuracy,F1_class_1,recall_class_1,precision_class_1,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,roc_auc,matthews_corrcoef,Cust_metric
0.001,balanced,1000,ovr,l1,liblinear,,0.7273761560151853,0.72858670969423,0.7318486283680586,0.7253605595099386,0.7273988152706382,0.7273761560151853,0.7273987988406275,0.7273761199834206,0.7273761560151853,0.7273761560151853,0.727369392438226,0.7273761560151853,0.7273694022426138,0.7992922680625831,0.4547749342138266,0.7276128558894269
0.001,balanced,1000,ovr,l1,saga,,0.7276910218800815,0.7301204116870391,0.7367004383595614,0.7236630450722522,0.727769098676287,0.7276910218800815,0.7277690817604755,0.7276909849266673,0.7276910218800815,0.7276910218800815,0.7276677040417215,0.7276910218800815,0.7276677140712744,0.7994186168041862,0.4554600756094993,0.728158245570785
0.001,balanced,10000,ovr,l1,liblinear,,0.7273761560151853,0.72858670969423,0.7318486283680586,0.7253605595099386,0.7273988152706382,0.7273761560151853,0.7273987988406275,0.7273761199834206,0.7273761560151853,0.7273761560151853,0.727369392438226,0.7273761560151853,0.7273694022426138,0.7992922680625831,0.4547749342138266,0.7276128558894269
0.001,balanced,10000,ovr,l1,saga,,0.7276910218800815,0.7301204116870391,0.7367004383595614,0.7236630450722522,0.727769098676287,0.7276910218800815,0.7277690817604755,0.7276909849266673,0.7276910218800815,0.7276910218800815,0.7276677040417215,0.7276910218800815,0.7276677140712744,0.7994186168041862,0.4554600756094993,0.728158245570785
0.001,balanced,100000,ovr,l1,liblinear,,0.7273761560151853,0.72858670969423,0.7318486283680586,0.7253605595099386,0.7273988152706382,0.7273761560151853,0.7273987988406275,0.7273761199834206,0.7273761560151853,0.7273761560151853,0.727369392438226,0.7273761560151853,0.7273694022426138,0.7992922680625831,0.4547749342138266,0.7276128558894269
0.001,balanced,100000,ovr,l1,saga,,0.7276910218800815,0.7301204116870391,0.7367004383595614,0.7236630450722522,0.727769098676287,0.7276910218800815,0.7277690817604755,0.7276909849266673,0.7276910218800815,0.7276910218800815,0.7276677040417215,0.7276910218800815,0.7276677140712744,0.7994186168041862,0.4554600756094993,0.728158245570785
0.001,,1000,ovr,l1,liblinear,,0.7273761560151853,0.72858670969423,0.7318486283680586,0.7253605595099386,0.7273988152706382,0.7273761560151853,0.7273987988406275,0.7273761199834206,0.7273761560151853,0.7273761560151853,0.727369392438226,0.7273761560151853,0.7273694022426138,0.7992922766655681,0.4547749342138266,0.7276128558894269
0.001,,1000,ovr,l1,saga,,0.7276910218800815,0.7301204116870391,0.7367004383595614,0.7236630450722522,0.727769098676287,0.7276910218800815,0.7277690817604755,0.7276909849266673,0.7276910218800815,0.7276910218800815,0.7276677040417215,0.7276910218800815,0.7276677140712744,0.7994186168041862,0.4554600756094993,0.728158245570785
0.001,,10000,ovr,l1,liblinear,,0.7273761560151853,0.72858670969423,0.7318486283680586,0.7253605595099386,0.7273988152706382,0.7273761560151853,0.7273987988406275,0.7273761199834206,0.7273761560151853,0.7273761560151853,0.727369392438226,0.7273761560151853,0.7273694022426138,0.7992922766655681,0.4547749342138266,0.7276128558894269
0.001,,10000,ovr,l1,saga,,0.7276910218800815,0.7301204116870391,0.7367004383595614,0.7236630450722522,0.727769098676287,0.7276910218800815,0.7277690817604755,0.7276909849266673,0.7276910218800815,0.7276910218800815,0.7276677040417215,0.7276910218800815,0.7276677140712744,0.7994186168041862,0.4554600756094993,0.728158245570785
