solver,penalty,multi_class,max_iter,class_weight,C,l1_ratio,accuracy,F1_class_1,recall_class_1,precision_class_1,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,roc_auc,matthews_corrcoef,Cust_metric
sag,l2,ovr,1000,balanced,0.01,,0.7703963002254105,0.7759409549863263,0.7951445750230558,0.7576441894251253,0.7710613628503138,0.7703963002254105,0.7710613644398139,0.7703963030297679,0.7703963002254105,0.7703963002254105,0.7702554027048581,0.7703963002254105,0.7702554020903648,0.8496979349941727,0.5414572551067537,0.771392513161152
newton-cg,l2,ovr,1000,,10.0,,0.7714414811506005,0.7770391626098183,0.7965499423725891,0.7584628672342028,0.7721290381987517,0.7714414811506005,0.7721290402549199,0.7714414847849383,0.7714414811506005,0.7714414811506005,0.771297051826707,0.7714414811506005,0.7712970510282119,0.8506282342400079,0.5435700848965531,0.7724454739833293
saga,l2,ovr,1000,balanced,0.01,,0.770396300240924,0.7759388420098082,0.7951349272938101,0.7576489317786796,0.7710608541035503,0.770396300240924,0.7710608557191247,0.7703963030918214,0.770396300240924,0.770396300240924,0.7702555105142838,0.770396300240924,0.7702555098894485,0.8496978986618678,0.5414567470223535,0.7713921768133886
saga,elasticnet,multinomial,10000,,1.0,0.5,0.771436657254951,0.7770418425196626,0.7965788857464866,0.7584416276122509,0.7721259613891087,0.771436657254951,0.7721259633826721,0.7714366607806952,0.771436657254951,0.771436657254951,0.7712918533228891,0.771436657254951,0.7712918525476611,0.8506261810021435,0.5435621820830395,0.7724418511622438
saga,l1,ovr,10000,balanced,0.01,,0.7689941498741675,0.7746886771479224,0.7942698382427409,0.756050982570204,0.769684348253261,0.7689941498741675,0.7696843498163214,0.7689941527017741,0.7689941498741675,0.7689941498741675,0.7688462724976,0.7689941498741675,0.7688462718579386,0.8486363425606046,0.538678056200088,0.7700147534276645
newton-cg,l2,ovr,100000,,0.001,,0.7648809609684711,0.769854456248206,0.7864936909038711,0.7539061624471746,0.7653780298137681,0.7648809609684711,0.7653780309968287,0.7648809631987527,0.7648809609684711,0.7648809609684711,0.7647708412560643,0.7648809609684711,0.7647708407281675,0.8441672355167512,0.5302587578587205,0.7657875642544928
lbfgs,,ovr,1000,balanced,,,0.7714157536657678,0.7770154983291065,0.7965306466658838,0.758435198327975,0.7721035348200876,0.7714157536657678,0.7721035368234676,0.7714157572070247,0.7714157536657678,0.7714157536657678,0.771271245016457,0.7714157536657678,0.7712712442383505,0.850628443239943,0.5435188537663586,0.772420095678987
saga,elasticnet,multinomial,1000,balanced,0.1,0.5,0.7714559527832519,0.7770998118948184,0.7967782740021595,0.7583712398905181,0.7721551237878428,0.7714559527832519,0.772155125714558,0.7714559561771331,0.7714559527832519,0.7714559527832519,0.7713091056387705,0.7714559527832519,0.7713091048962788,0.8505709667383986,0.5436106275597363,0.7724672468899803
saga,,multinomial,100000,balanced,,,0.7714414811350871,0.7770384601262857,0.7965467264214716,0.7584644411428084,0.7721288599895918,0.7714414811350871,0.7721288620457777,0.7714414847694249,0.7714414811350871,0.7714414811350871,0.7712970895172898,0.7714414811350871,0.7712970887188068,0.8506283388640915,0.5435699069049894,0.772445363639089
newton-cg,l2,multinomial,1000,balanced,10.0,,0.7714398731750417,0.7770379430917469,0.7965499423725891,0.7584605401219191,0.7721275118128679,0.7714398731750417,0.7721275138690363,0.7714398768093796,0.7714398731750417,0.7714398731750417,0.7712954249834564,0.7714398731750419,0.7712954241849612,0.8506283029339455,0.5435669504360843,0.7724439286051146
saga,l1,ovr,10000,,0.01,,0.7689941498741675,0.7746886771479224,0.7942698382427409,0.756050982570204,0.769684348253261,0.7689941498741675,0.7696843498163214,0.7689941527017741,0.7689941498741675,0.7689941498741675,0.7688462724976,0.7689941498741675,0.7688462718579386,0.8486363433052461,0.538678056200088,0.7700147534276645
newton-cg,l2,ovr,100000,,1.0,,0.7714575609294584,0.7770618753508582,0.7965981815152453,0.7584623374092118,0.7721468567750156,0.7714575609294584,0.7721468587849248,0.7714575644784726,0.7714575609294584,0.7714575609294584,0.7713127835183293,0.7714575609294583,0.7713127827395702,0.8506251959276874,0.5436039811427394,0.772462601884835
saga,l2,multinomial,100000,,10.0,,0.7714446970939615,0.7770423007548625,0.7965531583237068,0.7584659214470107,0.7721322543341583,0.7714446970939615,0.7721322563864881,0.7714447007205426,0.7714446970939615,0.7714446970939615,0.7713002715086407,0.7714446970939614,0.7713002707121258,0.8506282522987064,0.5435765169934953,0.7724486773578851
saga,l2,multinomial,1000,balanced,0.1,,0.7714061058511986,0.7770194045714666,0.7965821017906843,0.7583957963030997,0.7720970527910701,0.7714061058511986,0.7720970547011777,0.7714061092140518,0.7714061058511986,0.7714061058511986,0.7712609220417889,0.7714061058511987,0.7712609213066953,0.8505960874687885,0.543502720130374,0.7724126185477244
liblinear,l1,ovr,10000,balanced,10.0,,0.7714607768573057,0.7770608344625014,0.7965821016665774,0.758474941644883,0.7721490261961256,0.7714607768573057,0.772149028196642,0.7714607803985634,0.7714607768573057,0.7714607768573057,0.7713162206475181,0.7714607768573057,0.7713162198679747,0.8506267874326708,0.5436093677978847,0.7724651434105146
saga,l2,ovr,10000,balanced,0.1,,0.771423793613372,0.7770475039182453,0.7966496368262063,0.7583881063122399,0.7721175144329654,0.771423793613372,0.7721175163786117,0.7714237970382785,0.771423793613372,0.771423793613372,0.7712780484373457,0.771423793613372,0.7712780476888198,0.8505516304658592,0.5435408661173317,0.7724319395335256
saga,l2,ovr,1000,,0.01,,0.770396300240924,0.7759388420098082,0.7951349272938101,0.7576489317786796,0.7710608541035503,0.770396300240924,0.7710608557191247,0.7703963030918214,0.770396300240924,0.770396300240924,0.7702555105142838,0.770396300240924,0.7702555098894485,0.8496978997478032,0.5414567470223535,0.7713921768133886
newton-cg,l2,multinomial,1000,balanced,0.001,,0.7675903913534478,0.7728008420072365,0.7905264823115421,0.7558542350271198,0.7681559744993564,0.7675903913534478,0.7681559759580211,0.7675903939948739,0.7675903913534478,0.7675903913534478,0.7674678137435785,0.767590391353448,0.7674678131464384,0.8469204468824122,0.5357460673120179,0.7685344193963101
liblinear,l1,ovr,100000,,10.0,,0.7714543449860977,0.7770531526441588,0.7965692379862142,0.7584719791863557,0.7721422371606144,0.7714543449860977,0.7721422391795897,0.7714543485583817,0.7714543449860977,0.7714543449860977,0.7713098568691317,0.7714543449860977,0.7713098560832302,0.8506267851987465,0.5435961473383591,0.7724585160241372
saga,elasticnet,multinomial,10000,,1.0,1.0,0.7714446971637718,0.7770514590832782,0.7965949654710477,0.7584453303939308,0.7721344230382449,0.7714446971637718,0.7721344250054843,0.7714447006429758,0.7714446971637718,0.7714446971637718,0.7712998122659616,0.7714446971637718,0.7712998115009627,0.8506248669197468,0.5435786831648972,0.7724501416294248
lbfgs,l2,ovr,100000,,1.0,,0.7714575609527285,0.7770625869230315,0.7966013974663628,0.7584607524293867,0.7721470106122851,0.7714575609527285,0.7721470126090058,0.7714575644784726,0.7714575609527285,0.7714575609527285,0.7713127504345869,0.7714575609527285,0.771312749660931,0.8506247696496777,0.5436041348389973,0.7724627177322758
saga,elasticnet,multinomial,10000,balanced,10.0,1.0,0.7714446971172316,0.7770451044009432,0.7965660221281768,0.7584595749868491,0.7721329377876023,0.7714446971172316,0.7721329398283637,0.7714447007205424,0.7714446971172316,0.7714446971172316,0.7713001280097509,0.7714446971172316,0.7713001272191407,0.8506282994586057,0.5435771996351284,0.7724491232879894
sag,l2,ovr,1000,,0.01,,0.7703963002254105,0.7759409549863263,0.7951445750230558,0.7576441894251253,0.7710613628503138,0.7703963002254105,0.7710613644398139,0.7703963030297679,0.7703963002254105,0.7703963002254105,0.7702554027048581,0.7703963002254105,0.7702554020903648,0.8496979356767606,0.5414572551067537,0.771392513161152
sag,l2,ovr,10000,,0.01,,0.7703963002254105,0.7759409549863263,0.7951445750230558,0.7576441894251253,0.7710613628503138,0.7703963002254105,0.7710613644398139,0.7703963030297679,0.7703963002254105,0.7703963002254105,0.7702554027048581,0.7703963002254105,0.7702554020903648,0.8496979356767606,0.5414572551067537,0.771392513161152
saga,elasticnet,ovr,100000,,1.0,1.0,0.7714527370260522,0.7770596599553036,0.7966046132313201,0.7584522071841384,0.7721425673580605,0.7714527370260522,0.7721425693075984,0.7714527404742295,0.7714527370260522,0.7714527370260522,0.7713078387980072,0.7714527370260522,0.7713078380397448,0.8506247692159663,0.5435948672024876,0.7724582030294664
saga,l1,ovr,1000,,10.0,,0.7714511290194667,0.7770527839067259,0.796578885932647,0.7584625327569459,0.7721397272124549,0.7714511290194667,0.7721397292532165,0.7714511326227775,0.7714511290194667,0.7714511290194667,0.7713064919836355,0.7714511290194667,0.7713064911930253,0.850628253756628,0.5435904205460583,0.7724557503682536
saga,elasticnet,ovr,1000,,0.001,1.0,0.7579216651592686,0.7626485318142063,0.7778395933777605,0.7480413104360606,0.7583330880084524,0.7579216651592686,0.758333089016137,0.7579216671334713,0.7579216651592686,0.7579216651592686,0.7578252735346777,0.7579216651592686,0.7578252730482036,0.8360749914338861,0.5162545889906013,0.7587899251905834
