solver,penalty,multi_class,max_iter,class_weight,C,l1_ratio,accuracy,F1_class_1,recall_class_1,precision_class_1,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,roc_auc,matthews_corrcoef,Cust_metric
saga,l2,ovr,100000,,0.01,,0.8444064682939673,0.8142884316139408,0.7976749627181704,0.8840097973975788,0.8699987815411806,0.8444064682939673,0.8699984922951619,0.8444059794494266,0.8444064682939673,0.8444064682939673,0.8376480777455247,0.8444064682939673,0.8376482126988272,0.92914629084519,0.712807068148468,0.832976148519208
newton-cg,l2,ovr,100000,,10.0,,0.8442874907538265,0.8068524084659234,0.7852163618214102,0.8957524177598843,0.8744461009709784,0.8442874907538265,0.8744457940204943,0.8442869667947285,0.8442874907538265,0.8442874907538265,0.8355334291394367,0.8442874907538265,0.8355335859603982,0.929337374776796,0.7162408925487781,0.8297972250047341
saga,elasticnet,ovr,10000,,1.0,0.5,0.8443292979321932,0.8069654940690455,0.785393239039795,0.8957266393195544,0.8744828128167482,0.8443292979321932,0.8744825056884459,0.8443287740351496,0.8443292979321932,0.8443292979321932,0.8355928724646056,0.8443292979321932,0.8355930290896217,0.9294403558458918,0.7163248038163257,0.8298673967854935
lbfgs,l2,multinomial,100000,balanced,0.001,,0.8393879717891458,0.8190159861068409,0.8087764749671283,0.8640676302460015,0.8580348938333279,0.8393879717891458,0.8580346428724388,0.8393875491168771,0.8393879717891458,0.8393879717891458,0.8350579548662181,0.8393879717891458,0.8350580603586879,0.923632333206028,0.6967070321124114,0.8318495611143429
saga,elasticnet,ovr,100000,,0.001,0.5,0.8234786888910405,0.8115551747848445,0.808030474369048,0.8354262731991705,0.8355171921037385,0.8234786888910405,0.8355169896654299,0.8234783416368531,0.8234786888910405,0.8234786888910405,0.8209083527147142,0.8234786888910405,0.820908434176067,0.9083479880403011,0.6587481274109718,0.8190377171287405
saga,l2,multinomial,100000,,0.1,,0.8445319013477949,0.8077506114243224,0.7866956982495447,0.8949278025801043,0.874386531481695,0.8445319013477949,0.8743862251593865,0.8445313796226293,0.8445319013477949,0.8445319013477949,0.8359556180095136,0.8445319013477949,0.8359557729140409,0.9296879914156636,0.7165058514072123,0.8303146166924753
sag,l2,ovr,10000,balanced,10.0,,0.8442858827860243,0.806851148233746,0.7852163618214102,0.8957458239760374,0.8744424108337684,0.8442858827860243,0.874442103897291,0.844285358834683,0.8442858827860243,0.8442858827860243,0.8355320144803414,0.8442858827860243,0.8355321713005578,0.9293383912442592,0.7162358876803069,0.8297958412310221
saga,elasticnet,multinomial,100000,balanced,0.1,0.5,0.844514213686459,0.8076472732433517,0.7864384225324619,0.8951747539073969,0.8744309707684333,0.844514213686459,0.8744306642032097,0.8445136916587824,0.844514213686459,0.844514213686459,0.8359143313509128,0.844514213686459,0.8359144864835745,0.9298465568848924,0.7165181053126947,0.8302609197294006
saga,elasticnet,ovr,1000,balanced,10.0,0.0,0.8442939226250346,0.8068636032077477,0.7852292255948536,0.8957545354952172,0.8744508172940076,0.8442939226250346,0.8744505103409962,0.8442933986814501,0.8442939226250346,0.8442939226250346,0.8355412297094476,0.8442939226250346,0.8355413865144724,0.9293393449136036,0.7162525339477258,0.8298057044091077
sag,l2,multinomial,100000,balanced,1.0,,0.8443067863209107,0.8069181878099982,0.7853353518886523,0.8957351025480031,0.8744731099920345,0.8443067863209107,0.8744728028389505,0.8443062623307868,0.8443067863209107,0.8443067863209107,0.8355631555721726,0.8443067863209107,0.8355633122736642,0.9293984597598608,0.7162895399047596,0.8298341620197377
sag,l2,multinomial,100000,,0.01,,0.8448004255947149,0.8119804676861343,0.7936518013855385,0.888672669702264,0.8721810048899044,0.8448004255947149,0.8721807077874497,0.844799922260678,0.8448004255947149,0.8448004255947149,0.8373177779923905,0.8448004255947149,0.8373179210333227,0.9297574963853816,0.7150731897744568,0.8322503159311392
lbfgs,l2,multinomial,1000,balanced,10.0,,0.844292314672746,0.8068504473954269,0.785200282127876,0.8957826920897088,0.874457302864708,0.844292314672746,0.8744569959001879,0.8442917907058914,0.844292314672746,0.844292314672746,0.8355363940653403,0.844292314672746,0.8355365509012874,0.929324791071119,0.7162555529942852,0.8297992047313577
sag,l2,ovr,1000,,0.01,,0.8444112921896166,0.8142910486050106,0.7976717467670529,0.8840193115608143,0.8700030981752831,0.8444112921896166,0.8700028089566203,0.844410803376103,0.8444112921896166,0.8444112921896166,0.8376526022237728,0.8444112921896165,0.8376527371765042,0.9291466821272956,0.7128161010023223,0.8329802915000203
lbfgs,l2,multinomial,1000,balanced,0.001,,0.8393879717891458,0.8190159861068409,0.8087764749671283,0.8640676302460015,0.8580348938333279,0.8393879717891458,0.8580346428724388,0.8393875491168771,0.8393879717891458,0.8393879717891458,0.8350579548662181,0.8393879717891458,0.8350580603586879,0.923632333206028,0.6967070321124114,0.8318495611143429
sag,l2,ovr,100000,,0.01,,0.8444112921896166,0.8142910486050106,0.7976717467670529,0.8840193115608143,0.8700030981752831,0.8444112921896166,0.8700028089566203,0.844410803376103,0.8444112921896166,0.8444112921896166,0.8376526022237728,0.8444112921896165,0.8376527371765042,0.9291466821272956,0.7128161010023223,0.8329802915000203
lbfgs,l2,multinomial,1000,,1.0,,0.8443035703930634,0.806912563230486,0.7853417837598607,0.8957289173029684,0.8744757780557567,0.8443035703930634,0.8744754708598638,0.8443030463486424,0.8443035703930634,0.8443035703930634,0.8355587140775335,0.8443035703930634,0.8355588707937245,0.9293978116785944,0.7162883571815795,0.829829483908124
saga,l2,ovr,10000,balanced,0.001,,0.8340237694671719,0.8190691971403484,0.8131502099697188,0.850117671011735,0.8484299069387707,0.8340237694671719,0.8484296844038158,0.8340233938313989,0.8340237694671719,0.8340237694671719,0.8309093467376893,0.8340237694671719,0.8309094356258301,0.917531876915913,0.6820752904621997,0.828541316818221
saga,elasticnet,ovr,10000,,0.001,0.0,0.8340237694671719,0.8190691971403484,0.8131502099697188,0.850117671011735,0.8484299069387707,0.8340237694671719,0.8484296844038158,0.8340233938313989,0.8340237694671719,0.8340237694671719,0.8309093467376893,0.8340237694671719,0.8309094356258301,0.9175318887991488,0.6820752904621997,0.828541316818221
saga,elasticnet,multinomial,10000,,0.001,1.0,0.811330462996783,0.80150630310188,0.7992059677039496,0.8206850830569344,0.8214394333432574,0.811330462996783,0.8214392502653918,0.8113301404319703,0.811330462996783,0.811330462996783,0.8091162639683206,0.811330462996783,0.8091163405980096,0.8980976865550482,0.6325992883828259,0.8075942717950323
saga,l1,ovr,1000,balanced,0.001,,0.8113272470379087,0.801499756640779,0.7991770242369718,0.820698199855185,0.8214330666455218,0.8113272470379087,0.8214328835941774,0.8113269245118794,0.8113272470379087,0.8113272470379087,0.8091133390989037,0.8113272470379087,0.8091134157225551,0.8980980051076566,0.6325897022851147,0.8075906226072789
liblinear,l1,ovr,1000,,0.01,,0.8432873225098204,0.8115202312223867,0.7933077064991972,0.8863389394571727,0.8700774264080328,0.8432873225098204,0.8700771321606138,0.8432868246597479,0.8432873225098204,0.8432873225098204,0.8360659644767661,0.8432873225098204,0.8360661046435611,0.9299503422052808,0.7115582803287789,0.8311568178258901
sag,l2,multinomial,10000,,0.1,,0.844536725251201,0.8077555438535873,0.7867053460098171,0.8949288219567272,0.8743922417590437,0.844536725251201,0.8743919354141069,0.8445362035027655,0.844536725251201,0.844536725251201,0.8359604162549772,0.844536725251201,0.8359605711601518,0.9296880218841546,0.7165163811888539,0.8303194417746993
lbfgs,,multinomial,100000,balanced,,,0.8443019625338554,0.8068387679160565,0.7851520429852198,0.8958655333437218,0.8744878388192596,0.8443019625338554,0.8744875317659436,0.844301438481677,0.8443019625338554,0.8443019625338554,0.8355399459166962,0.8443019625338554,0.8355401028083763,0.9293037961523803,0.7162914657574141,0.8297997103165683
saga,elasticnet,multinomial,10000,,0.1,0.5,0.844514213686459,0.8076472732433517,0.7864384225324619,0.8951747539073969,0.8744309707684333,0.844514213686459,0.8744306642032097,0.8445136916587824,0.844514213686459,0.844514213686459,0.8359143313509128,0.844514213686459,0.8359144864835745,0.9298465682717004,0.7165181053126947,0.8302609197294006
newton-cg,l2,multinomial,10000,balanced,0.1,,0.8445302933722362,0.8077491926727515,0.7866956982495447,0.894925218647427,0.8743851865767813,0.8445302933722362,0.8743848802544728,0.8445297716470707,0.8445302933722362,0.8445302933722362,0.8359539934304901,0.8445302933722362,0.8359541483350174,0.929688016175822,0.7165028971488553,0.8303130332789422
lbfgs,l2,ovr,100000,balanced,0.001,,0.8340141216448461,0.8190611012277031,0.8131502099697188,0.8501011953481732,0.8484206826259291,0.8340141216448461,0.8484204600834541,0.8340137459935596,0.8340141216448461,0.8340141216448461,0.8308996763946417,0.8340141216448463,0.8308997652859526,0.9175297349543508,0.6820564611980826,0.828531961361254
