C,class_weight,max_iter,multi_class,penalty,solver,l1_ratio,accuracy,F1_class_2,recall_class_2,precision_class_2,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,roc_auc,matthews_corrcoef,Cust_metric
0.001,balanced,1000,ovr,l1,liblinear,,0.6003802298593331,0.2044979497026412,0.3548479272808597,0.1436382658402875,0.4719354347144951,0.6003802298593331,0.612647117818763,0.5015472453565685,0.6003802298593331,0.6003802298593331,0.468707295207486,0.6003802298593331,0.5948485688316776,0.8025289704897784,0.3892356958092655,0.2754050637692374
0.001,balanced,1000,ovr,l1,saga,,0.5811507741568661,0.1914840026162661,0.4460421786046207,0.121912692100789,0.4661125885389737,0.5811507741568661,0.6201004017866455,0.5194960733144257,0.5811507741568661,0.5811507741568661,0.4618548725675637,0.5811507741568661,0.5859903662217459,0.8004227019505955,0.3803345544792498,0.2724977567375637
0.001,balanced,10000,ovr,l1,liblinear,,0.6003802298593331,0.2044979497026412,0.3548479272808597,0.1436382658402875,0.4719354347144951,0.6003802298593331,0.612647117818763,0.5015472453565685,0.6003802298593331,0.6003802298593331,0.468707295207486,0.6003802298593331,0.5948485688316776,0.8025289704897784,0.3892356958092655,0.2754050637692374
0.001,balanced,10000,ovr,l1,saga,,0.5811507741568661,0.1914840026162661,0.4460421786046207,0.121912692100789,0.4661125885389737,0.5811507741568661,0.6201004017866455,0.5194960733144257,0.5811507741568661,0.5811507741568661,0.4618548725675637,0.5811507741568661,0.5859903662217459,0.8004227019505955,0.3803345544792498,0.2724977567375637
0.001,balanced,100000,ovr,l1,liblinear,,0.6003802298593331,0.2044979497026412,0.3548479272808597,0.1436382658402875,0.4719354347144951,0.6003802298593331,0.612647117818763,0.5015472453565685,0.6003802298593331,0.6003802298593331,0.468707295207486,0.6003802298593331,0.5948485688316776,0.8025289704897784,0.3892356958092655,0.2754050637692374
0.001,balanced,100000,ovr,l1,saga,,0.5811507741568661,0.1914840026162661,0.4460421786046207,0.121912692100789,0.4661125885389737,0.5811507741568661,0.6201004017866455,0.5194960733144257,0.5811507741568661,0.5811507741568661,0.4618548725675637,0.5811507741568661,0.5859903662217459,0.8004227019505955,0.3803345544792498,0.2724977567375637
0.001,,1000,ovr,l1,liblinear,,0.6200665934894704,0.0,0.0,0.0,0.4396667072715912,0.6200665934894704,0.5882553942964436,0.3981195292748611,0.6200665934894704,0.6200665934894704,0.3870373282282593,0.6200665934894704,0.5796002117444399,0.7930005366865579,0.3792697514886251,0.0878355745216203
0.001,,1000,ovr,l1,saga,,0.6211300822617272,0.0,0.0,0.0,0.4429320422189168,0.6211300822617272,0.5905608436034954,0.3993461255191886,0.6211300822617272,0.6211300822617272,0.3888367897746487,0.6211300822617272,0.5812190913628488,0.7911293404475878,0.3807942537288092,0.0899491419764452
0.001,,10000,ovr,l1,liblinear,,0.6200665934894704,0.0,0.0,0.0,0.4396667072715912,0.6200665934894704,0.5882553942964436,0.3981195292748611,0.6200665934894704,0.6200665934894704,0.3870373282282593,0.6200665934894704,0.5796002117444399,0.7930005366865579,0.3792697514886251,0.0878355745216203
0.001,,10000,ovr,l1,saga,,0.6211300822617272,0.0,0.0,0.0,0.4429320422189168,0.6211300822617272,0.5905608436034954,0.3993461255191886,0.6211300822617272,0.6211300822617272,0.3888367897746487,0.6211300822617272,0.5812190913628488,0.7911293404475878,0.3807942537288092,0.0899491419764452
