C,class_weight,max_iter,multi_class,penalty,solver,l1_ratio,accuracy,F1_class_2,recall_class_2,precision_class_2,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,roc_auc,matthews_corrcoef,Cust_metric
1.0,,1000,ovr,elasticnet,saga,0.5,0.5483838699804231,0.5896616823196958,0.6308637220511352,0.5535361491164716,0.5359467108224668,0.5483838699804231,0.5359467085809932,0.5483836632430416,0.5483838699804231,0.5483838699804231,0.5370026290183981,0.5483838699804231,0.5370028681519937,0.8036904772798877,0.4004132580264781,0.5100483078736125
0.1,,1000,ovr,l2,lbfgs,,0.548561168528425,0.5878776418964303,0.6314712653240223,0.5499263058172408,0.5361774160899533,0.548561168528425,0.5361773553895034,0.5485609938834858,0.548561168528425,0.548561168528425,0.5368397028074983,0.548561168528425,0.5368398899960742,0.8031288052447488,0.4008299020947812,0.5089805828773089
1.0,,1000,multinomial,elasticnet,saga,1.0,0.5490424633599684,0.5871962628060569,0.6125236282519176,0.5638951492865594,0.5380996024592656,0.5490424633599684,0.5380994138526389,0.5490423657573801,0.5490424633599684,0.5490424633599684,0.5406075048563298,0.5490424633599684,0.5406075691900634,0.8076974996428753,0.4001839942284439,0.5128135681828194
0.1,balanced,1000,multinomial,elasticnet,saga,0.5,0.5495491035135033,0.5861901642374039,0.612928588631428,0.5616973603998334,0.5383655314389044,0.5495491035135033,0.5383653794430197,0.5495492466432605,0.5495491035135033,0.5495491035135033,0.5405812810418318,0.5495491035135033,0.5405812372800544,0.8066879884935927,0.4010690816497705,0.5122069054314695
1.0,balanced,1000,multinomial,l2,saga,,0.5486371435372959,0.5868325940435388,0.6123209426549194,0.5633975038102191,0.537822927348788,0.5486371435372959,0.5378227622204756,0.5486370715910999,0.5486371435372959,0.5486371435372959,0.5403364509793402,0.5486371435372959,0.540336498820568,0.8075149425953428,0.3996063442266991,0.512854431603425
0.1,balanced,1000,multinomial,elasticnet,saga,0.5,0.5495491035135033,0.5861901642374039,0.612928588631428,0.5616973603998334,0.5383655314389044,0.5495491035135033,0.5383653794430197,0.5495492466432605,0.5495491035135033,0.5495491035135033,0.5405812810418318,0.5495491035135033,0.5405812372800544,0.8066879884935927,0.4010690816497705,0.5122069054314695
0.1,balanced,1000,multinomial,elasticnet,saga,0.5,0.5495491035135033,0.5861901642374039,0.612928588631428,0.5616973603998334,0.5383655314389044,0.5495491035135033,0.5383653794430197,0.5495492466432605,0.5495491035135033,0.5495491035135033,0.5405812810418318,0.5495491035135033,0.5405812372800544,0.8066879884935927,0.4010690816497705,0.5122069054314695
0.1,balanced,1000,multinomial,elasticnet,saga,0.5,0.5495491035135033,0.5861901642374039,0.612928588631428,0.5616973603998334,0.5383655314389044,0.5495491035135033,0.5383653794430197,0.5495492466432605,0.5495491035135033,0.5495491035135033,0.5405812810418318,0.5495491035135033,0.5405812372800544,0.8066879884935927,0.4010690816497705,0.5122069054314695
1.0,,1000,multinomial,elasticnet,saga,1.0,0.5490424633599684,0.5871962628060569,0.6125236282519176,0.5638951492865594,0.5380996024592656,0.5490424633599684,0.5380994138526389,0.5490423657573801,0.5490424633599684,0.5490424633599684,0.5406075048563298,0.5490424633599684,0.5406075691900634,0.8076974996428753,0.4001839942284439,0.5128135681828194
0.1,balanced,1000,multinomial,elasticnet,saga,0.5,0.5495491035135033,0.5861901642374039,0.612928588631428,0.5616973603998334,0.5383655314389044,0.5495491035135033,0.5383653794430197,0.5495492466432605,0.5495491035135033,0.5495491035135033,0.5405812810418318,0.5495491035135033,0.5405812372800544,0.8066879884935927,0.4010690816497705,0.5122069054314695
1.0,,1000,multinomial,elasticnet,saga,1.0,0.5490424633599684,0.5871962628060569,0.6125236282519176,0.5638951492865594,0.5380996024592656,0.5490424633599684,0.5380994138526389,0.5490423657573801,0.5490424633599684,0.5490424633599684,0.5406075048563298,0.5490424633599684,0.5406075691900634,0.8076974996428753,0.4001839942284439,0.5128135681828194
