C,class_weight,max_iter,multi_class,penalty,solver,l1_ratio,accuracy,F1_class_2,recall_class_2,precision_class_2,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,roc_auc,matthews_corrcoef,Cust_metric
0.001,balanced,1000,ovr,l1,liblinear,,0.4324907425409359,0.4949212008504233,0.5441268677295464,0.4538964103977961,0.4171182570206252,0.4324907425409359,0.417118315400812,0.4324905602533904,0.4324907425409359,0.4324907425409359,0.4145235626283016,0.4324907425409359,0.4145236376431251,0.7054872691453605,0.2472328774946209,0.4352405020811073
0.001,balanced,1000,ovr,l1,saga,,0.4304894566668784,0.4818334521981574,0.5220368593027143,0.44791259593307,0.4149383575244394,0.4304894566668784,0.4149377815423704,0.4304893031610634,0.4304894566668784,0.4304894566668784,0.4109106494035583,0.4304894566668785,0.4109102189266192,0.6994132271668547,0.2451521616795427,0.4197975835705109
0.001,balanced,10000,ovr,l1,liblinear,,0.4324907425409359,0.4949212008504233,0.5441268677295464,0.4538964103977961,0.4171182570206252,0.4324907425409359,0.417118315400812,0.4324905602533904,0.4324907425409359,0.4324907425409359,0.4145235626283016,0.4324907425409359,0.4145236376431251,0.7054872691453605,0.2472328774946209,0.4352405020811073
0.001,balanced,10000,ovr,l1,saga,,0.4304894566668784,0.4818334521981574,0.5220368593027143,0.44791259593307,0.4149383575244394,0.4304894566668784,0.4149377815423704,0.4304893031610634,0.4304894566668784,0.4304894566668784,0.4109106494035583,0.4304894566668785,0.4109102189266192,0.6994132271668547,0.2451521616795427,0.4197975835705109
0.001,balanced,100000,ovr,l1,liblinear,,0.4324907425409359,0.4949212008504233,0.5441268677295464,0.4538964103977961,0.4171182570206252,0.4324907425409359,0.417118315400812,0.4324905602533904,0.4324907425409359,0.4324907425409359,0.4145235626283016,0.4324907425409359,0.4145236376431251,0.7054872691453605,0.2472328774946209,0.4352405020811073
0.001,balanced,100000,ovr,l1,saga,,0.4304894566668784,0.4818334521981574,0.5220368593027143,0.44791259593307,0.4149383575244394,0.4304894566668784,0.4149377815423704,0.4304893031610634,0.4304894566668784,0.4304894566668784,0.4109106494035583,0.4304894566668785,0.4109102189266192,0.6994132271668547,0.2451521616795427,0.4197975835705109
0.001,,1000,ovr,l1,liblinear,,0.4324147450741847,0.4946380291438524,0.5433163307487967,0.453994763915011,0.4170633895138369,0.4324147450741847,0.4170634812006782,0.4324146366012085,0.4324147450741847,0.4324147450741847,0.4144895487675229,0.4324147450741847,0.4144896008399621,0.7054924983601196,0.2471159816128226,0.4351294455625473
0.001,,1000,ovr,l1,saga,,0.4191153135152164,0.4835306236189824,0.5193012456408732,0.4527087467526891,0.4002280685519709,0.4191153135152164,0.40022653828938,0.4191149541094544,0.4191153135152164,0.4191153135152164,0.385086216289915,0.4191153135152164,0.3850849069696233,0.6829858628252714,0.2335907069790188,0.4217950761550837
0.001,,10000,ovr,l1,liblinear,,0.4324147450741847,0.4946380291438524,0.5433163307487967,0.453994763915011,0.4170633895138369,0.4324147450741847,0.4170634812006782,0.4324146366012085,0.4324147450741847,0.4324147450741847,0.4144895487675229,0.4324147450741847,0.4144896008399621,0.7054924983601196,0.2471159816128226,0.4351294455625473
0.001,,10000,ovr,l1,saga,,0.4191153135152164,0.4835306236189824,0.5193012456408732,0.4527087467526891,0.4002280685519709,0.4191153135152164,0.40022653828938,0.4191149541094544,0.4191153135152164,0.4191153135152164,0.385086216289915,0.4191153135152164,0.3850849069696233,0.6829858628252714,0.2335907069790188,0.4217950761550837
0.001,,100000,ovr,l1,liblinear,,0.4324147450741847,0.4946380291438524,0.5433163307487967,0.453994763915011,0.4170633895138369,0.4324147450741847,0.4170634812006782,0.4324146366012085,0.4324147450741847,0.4324147450741847,0.4144895487675229,0.4324147450741847,0.4144896008399621,0.7054924983601196,0.2471159816128226,0.4351294455625473
0.001,,100000,ovr,l1,saga,,0.4191153135152164,0.4835306236189824,0.5193012456408732,0.4527087467526891,0.4002280685519709,0.4191153135152164,0.40022653828938,0.4191149541094544,0.4191153135152164,0.4191153135152164,0.385086216289915,0.4191153135152164,0.3850849069696233,0.6829858628252714,0.2335907069790188,0.4217950761550837
0.01,balanced,1000,ovr,l1,liblinear,,0.5227481355146993,0.5608445181002717,0.6117129372157357,0.5177951106793859,0.5085907010128154,0.5227481355146993,0.5085902460622946,0.5227487494550289,0.5227481355146993,0.5227481355146993,0.5058903633555485,0.5227481355146993,0.5058899778987754,0.7847035387872834,0.368383760965876,0.4796070625802432
0.01,balanced,1000,ovr,l1,saga,,0.5272571966277246,0.5667883610579288,0.6100914010879395,0.5292462509146622,0.5133637690085002,0.5272571966277246,0.5133634581673722,0.527257618169503,0.5272571966277246,0.5272571966277246,0.5128046288697986,0.5272571966277246,0.5128043551979206,0.7841973761206258,0.373314689642388,0.4882252316409418
0.01,balanced,10000,ovr,l1,liblinear,,0.5227481355146993,0.5608445181002717,0.6117129372157357,0.5177951106793859,0.5085907010128154,0.5227481355146993,0.5085902460622946,0.5227487494550289,0.5227481355146993,0.5227481355146993,0.5058903633555485,0.5227481355146993,0.5058899778987754,0.7847035387872834,0.368383760965876,0.4796070625802432
0.01,balanced,10000,ovr,l1,saga,,0.5272571966277246,0.5667883610579288,0.6100914010879395,0.5292462509146622,0.5133637690085002,0.5272571966277246,0.5133634581673722,0.527257618169503,0.5272571966277246,0.5272571966277246,0.5128046288697986,0.5272571966277246,0.5128043551979206,0.7841973761206258,0.373314689642388,0.4882252316409418
0.01,balanced,100000,ovr,l1,liblinear,,0.5227481355146993,0.5608445181002717,0.6117129372157357,0.5177951106793859,0.5085907010128154,0.5227481355146993,0.5085902460622946,0.5227487494550289,0.5227481355146993,0.5227481355146993,0.5058903633555485,0.5227481355146993,0.5058899778987754,0.7847035387872834,0.368383760965876,0.4796070625802432
