solver,penalty,multi_class,max_iter,class_weight,C,l1_ratio,accuracy,F1_class_2,recall_class_2,precision_class_2,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,roc_auc,matthews_corrcoef,Cust_metric
saga,elasticnet,ovr,100000,,0.1,0.5,0.5571905733902395,0.598713487779379,0.6433846724809799,0.5598441223466638,0.5449997161213641,0.5571905733902395,0.5449997161213641,0.5571905733902393,0.5571905733902395,0.5571905733902395,0.5453123720366072,0.5571905733902395,0.5453123720366071,0.8089485129845008,0.412498588846707,0.5183014181255684
liblinear,l1,ovr,1000,balanced,0.1,,0.5570776891198119,0.5987041923532331,0.6434155996783572,0.5598042741467406,0.5448491492904423,0.5570776891198119,0.544849149290442,0.5570776891198119,0.5570776891198119,0.5570776891198119,0.5451525810057135,0.5570776891198119,0.5451525810057136,0.8089441166720114,0.4123615599404442,0.5181691590819583
lbfgs,l2,multinomial,10000,,10.0,,0.5583302406135956,0.5956827784801595,0.6225521123275809,0.5710396275195299,0.5475856156152733,0.5583302406135956,0.5475856156152733,0.5583302406135956,0.5583302406135956,0.5583302406135956,0.5497206212962659,0.5583302406135956,0.5497206212962659,0.8130124715324684,0.4127270403079904,0.5230765984675242
saga,elasticnet,multinomial,100000,,0.1,0.5,0.5583395187728087,0.5959149020683214,0.6231706562751284,0.5709459704881171,0.5475568769375323,0.5583395187728087,0.5475568769375324,0.5583395187728087,0.5583395187728087,0.5583395187728087,0.5496567031258038,0.5583395187728087,0.5496567031258038,0.812914594422968,0.4127674319100509,0.5231873196041322
lbfgs,l2,multinomial,100000,balanced,0.1,,0.558313230655038,0.595875683866887,0.623009834848766,0.5710088616279264,0.5475621951402503,0.558313230655038,0.5475621951402503,0.5583132306550379,0.558313230655038,0.558313230655038,0.549670779570074,0.558313230655038,0.549670779570074,0.8129225195101223,0.4127196719752644,0.5232289583931811
saga,elasticnet,multinomial,10000,balanced,1.0,1.0,0.5583487969320221,0.5957147216702028,0.622657264798664,0.5710091899118952,0.5476003909853571,0.5583487969320221,0.5476003909853572,0.5583487969320221,0.5583487969320221,0.5583487969320221,0.5497319331469005,0.5583487969320221,0.5497319331469005,0.813006941873156,0.4127546376422888,0.5231139534975808
saga,elasticnet,multinomial,10000,balanced,1.0,1.0,0.5583487969320221,0.5957147216702028,0.622657264798664,0.5710091899118952,0.5476003909853571,0.5583487969320221,0.5476003909853572,0.5583487969320221,0.5583487969320221,0.5583487969320221,0.5497319331469005,0.5583487969320221,0.5497319331469005,0.813006941873156,0.4127546376422888,0.5231139534975808
saga,elasticnet,multinomial,10000,balanced,1.0,1.0,0.5583487969320221,0.5957147216702028,0.622657264798664,0.5710091899118952,0.5476003909853571,0.5583487969320221,0.5476003909853572,0.5583487969320221,0.5583487969320221,0.5583487969320221,0.5497319331469005,0.5583487969320221,0.5497319331469005,0.813006941873156,0.4127546376422888,0.5231139534975808
saga,elasticnet,multinomial,1000,,10.0,1.0,0.5583426114925465,0.5956357834855005,0.6224902579328262,0.5710045779941092,0.5476018199164284,0.5583426114925465,0.5476018199164284,0.5583426114925466,0.5583426114925465,0.5583426114925465,0.5497350553332047,0.5583426114925465,0.5497350553332048,0.8130130801097742,0.4127434512364028,0.5230810097064538
saga,elasticnet,multinomial,10000,balanced,1.0,1.0,0.5583487969320221,0.5957147216702028,0.622657264798664,0.5710091899118952,0.5476003909853571,0.5583487969320221,0.5476003909853572,0.5583487969320221,0.5583487969320221,0.5583487969320221,0.5497319331469005,0.5583487969320221,0.5497319331469005,0.813006941873156,0.4127546376422888,0.5231139534975808
saga,elasticnet,multinomial,1000,,10.0,1.0,0.5583426114925465,0.5956357834855005,0.6224902579328262,0.5710045779941092,0.5476018199164284,0.5583426114925465,0.5476018199164284,0.5583426114925466,0.5583426114925465,0.5583426114925465,0.5497350553332047,0.5583426114925465,0.5497350553332048,0.8130130801097742,0.4127434512364028,0.5230810097064538
