solver,penalty,multi_class,max_iter,class_weight,C,l1_ratio,accuracy,F1_class_2,recall_class_2,precision_class_2,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,roc_auc,matthews_corrcoef,Cust_metric
saga,l2,ovr,10000,balanced,10.0,,0.556052452526752,0.5966045102428081,0.6411950269066616,0.5578148291154642,0.5439690535875358,0.556052452526752,0.5439690535875356,0.556052452526752,0.556052452526752,0.556052452526752,0.5443145289503958,0.556052452526752,0.5443145289503958,0.8041429713392017,0.4109373562133496,0.5179785615662781
newton-cg,l2,multinomial,10000,,0.1,,0.5583163233747758,0.5958516627278735,0.6230160202882414,0.5709599224331051,0.5475655930084188,0.5583163233747758,0.5475655930084188,0.5583163233747758,0.5583163233747758,0.5583163233747758,0.5496767437247381,0.5583163233747758,0.5496767437247381,0.8129230329834743,0.4127225178495249,0.5231830267861013
saga,l2,ovr,10000,,0.1,,0.5571658316323375,0.5986486171633573,0.6432114801756664,0.5598616440693406,0.5449828749055702,0.5571658316323375,0.5449828749055702,0.5571658316323375,0.5571658316323375,0.5571658316323375,0.5453232815008094,0.5571658316323375,0.5453232815008094,0.8089457492117678,0.4124497500309665,0.5182622366256961
saga,elasticnet,multinomial,100000,,0.001,0.0,0.5489098162924475,0.587517544722238,0.6194717634687945,0.558699736864099,0.5376237466186858,0.5489098162924475,0.5376237466186858,0.5489098162924475,0.5489098162924475,0.5489098162924475,0.5391499951802662,0.5489098162924475,0.5391499951802663,0.8055497196372178,0.4005891017478884,0.5136727661689114
lbfgs,l2,ovr,1000,balanced,0.1,,0.5561668831570482,0.5967276591192324,0.6413682192119751,0.5578993294967969,0.544079472888514,0.5561668831570482,0.5440794728885141,0.5561668831570482,0.5561668831570482,0.5561668831570482,0.544413366090191,0.5561668831570482,0.5444133660901908,0.8040446639806778,0.4110970533895186,0.5180898719333472
saga,elasticnet,multinomial,10000,,0.1,1.0,0.5582498299004145,0.5958976030186801,0.6232510669883095,0.5708471518226862,0.5474258771556466,0.5582498299004145,0.5474258771556466,0.5582498299004145,0.5582498299004145,0.5582498299004145,0.5495315478242823,0.5582498299004145,0.5495315478242823,0.8128865529222998,0.4126554920584911,0.522987093263596
sag,l2,ovr,10000,balanced,1.0,,0.5560338962083256,0.5965544703576002,0.6411579142698088,0.5577553795039284,0.5439525807704786,0.5560338962083256,0.5439525807704786,0.5560338962083256,0.5560338962083256,0.5560338962083256,0.5442932900337283,0.5560338962083256,0.5442932900337284,0.8041346864581905,0.4109143643799052,0.5179429408030192
saga,,ovr,10000,balanced,,,0.5560570916063586,0.5966010727386782,0.6411950269066616,0.557808808682856,0.5439739979814919,0.5560570916063586,0.5439739979814919,0.5560570916063586,0.5560570916063586,0.5560570916063586,0.5443200753420979,0.5560570916063586,0.5443200753420979,0.8041438509862092,0.4109431991030532,0.5179776220093681
saga,elasticnet,multinomial,1000,,1.0,0.0,0.5582884888971361,0.5956484337641084,0.622527370569679,0.5709969344745397,0.5475434589993151,0.5582884888971361,0.5475434589993151,0.5582884888971361,0.5582884888971361,0.5582884888971361,0.5496792031980483,0.5582884888971361,0.5496792031980483,0.8130072000589168,0.4126710650525663,0.5230517042476227
newton-cg,l2,ovr,10000,balanced,1.0,,0.556040081647801,0.5965579159068032,0.6411579142698088,0.5577614218205663,0.5439593286280505,0.556040081647801,0.5439593286280505,0.556040081647801,0.556040081647801,0.556040081647801,0.5443000158275074,0.556040081647801,0.5443000158275074,0.8041349702683597,0.4109224998254041,0.5179495216998041
liblinear,l1,ovr,10000,balanced,0.001,,0.5295926888105401,0.566322940536207,0.6138306426671615,0.5256422819228358,0.5154248129287929,0.5295926888105401,0.5154248129287929,0.52959268881054,0.5295926888105401,0.5295926888105401,0.513114923081865,0.5295926888105401,0.513114923081865,0.7909652542913671,0.3773764955892923,0.4852102929953164
