solver,penalty,multi_class,max_iter,C,l1_ratio,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,roc_auc,matthews_corrcoef,Cust_metric,F1_class_2_macro,F1_class_2_weighted,F1_class_2_micro
saga,none,ovr,100000,0.1,,0.6450047554437465,0.564012668697681,0.6450047554437465,0.6262841607833207,0.4377057255200328,0.6450047554437465,0.6450047554437465,0.43779853492731746,0.6450047554437465,0.6218747838940631,0.8330411706991327,0.4254795713592707,0.15217139051550146,0.008229197362878436,0.008229197362878436,0.008229197362878436
lbfgs,none,multinomial,100000,0.01,,0.6485129548153594,0.5593608205807706,0.6485129548153594,0.6311669708329257,0.45371733745215587,0.6485129548153594,0.6485129548153594,0.45897647283328397,0.6485129548153594,0.6306493097721143,0.836285057848781,0.4343033548201292,0.19299672440790058,0.048607164800459644,0.048607164800459644,0.048607164800459644
newton-cg,l2,multinomial,100000,0.01,,0.6473470563242388,0.5703590447954406,0.6473470563242388,0.6304859747150303,0.4467240421379754,0.6473470563242388,0.6473470563242388,0.4481119809930931,0.6473470563242388,0.6277131011312119,0.8341257170122495,0.431366787522824,0.16969616848114155,0.015920555468099864,0.015920555468099864,0.015920555468099864
saga,none,multinomial,10000,0.001,,0.6484998252528363,0.5594238391728502,0.6484998252528363,0.631160761377596,0.4537227790010168,0.6484998252528363,0.6484998252528363,0.45900548436253724,0.6484998252528363,0.6306356619147727,0.8362790935770583,0.43427899826912914,0.19309211638118176,0.04878903978939254,0.04878903978939254,0.04878903978939254
lbfgs,l2,ovr,100000,0.001,,0.631827995132122,0.44735665393511564,0.631827995132122,0.6013002477376284,0.41921740466196983,0.631827995132122,0.631827995132122,0.4161846390031028,0.631827995132122,0.6029030758665516,0.8168761599316857,0.40134373759567027,0.1262720490038783,0.0,0.0,0.0
lbfgs,none,multinomial,100000,10,,0.6485129548153594,0.5593608205807706,0.6485129548153594,0.6311669708329257,0.45371733745215587,0.6485129548153594,0.6485129548153594,0.45897647283328397,0.6485129548153594,0.6306493097721143,0.836285057848781,0.4343033548201292,0.19299672440790058,0.048607164800459644,0.048607164800459644,0.048607164800459644
lbfgs,l2,ovr,10000,0.01,,0.6426519509339218,0.4532953349380273,0.6426519509339218,0.6122400789100751,0.43296758749897385,0.6426519509339218,0.6426519509339218,0.43162927460940065,0.6426519509339218,0.6179593360100878,0.830356491546541,0.42099306999811636,0.14246007098867156,0.0,0.0,0.0
saga,l1,ovr,1000,0.01,,0.6412575985513675,0.45297843120263215,0.6412575985513675,0.6106652480546609,0.42998830428660545,0.6412575985513675,0.6412575985513675,0.42822469720059414,0.6412575985513675,0.6151072103692404,0.8261540182478909,0.4182181282931006,0.13819498497443083,0.0,0.0,0.0
sag,none,ovr,10000,10,,0.644994251793728,0.5628842943843998,0.644994251793728,0.6261598302334934,0.4376990269410032,0.644994251793728,0.644994251793728,0.43779258499594925,0.644994251793728,0.6218646615334206,0.8330358718233932,0.42546288666461374,0.15217241760350905,0.00822805267444064,0.00822805267444064,0.00822805267444064
saga,l2,ovr,1000,1,,0.6449075972396008,0.5722386925658604,0.6449075972396008,0.6270286819894172,0.4375429550100402,0.6449075972396008,0.6449075972396008,0.43757601290477055,0.6449075972396008,0.6217348092006115,0.833108222118654,0.4252984338054488,0.15182135935294763,0.007836419550060827,0.007836419550060827,0.007836419550060827
