solver,penalty,multi_class,max_iter,class_weight,C,l1_ratio,accuracy,F1_class_2,recall_class_2,precision_class_2,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,roc_auc,matthews_corrcoef,Cust_metric
lbfgs,l2,multinomial,100000,,10.0,,0.6224995360920395,0.7380224588451424,0.7894661965732666,0.7425514634220626,0.6325409499147451,0.6224995360920395,0.6325409499147452,0.6224995360920395,0.6224995360920395,0.6224995360920395,0.6088619343957391,0.6224995360920395,0.6088619343957391,0.8601817863913438,0.5069802498072669,0.6022374968274956
newton-cg,l2,ovr,100000,balanced,0.1,,0.6100668027463352,0.7324551489518886,0.8267025422156244,0.706399333827068,0.612222736888059,0.6100668027463352,0.612222736888059,0.6100668027463352,0.6100668027463352,0.6100668027463352,0.585727808652969,0.6100668027463352,0.585727808652969,0.8428627579762412,0.4964590258769001,0.5645324428385861
saga,elasticnet,multinomial,1000,,1.0,0.0,0.6225289169295478,0.7380738970093678,0.7896826869549081,0.742326945189084,0.6325577582535779,0.6225289169295478,0.6325577582535779,0.6225289169295478,0.6225289169295478,0.6225289169295478,0.6088957183321871,0.6225289169295478,0.6088957183321874,0.8604887680652605,0.5070205611596966,0.6022840756751261
saga,elasticnet,multinomial,10000,balanced,0.01,0.5,0.6177042741386775,0.7350126794941021,0.7962268819199604,0.726332805575666,0.625366271048705,0.6177042741386775,0.625366271048705,0.6177042741386775,0.6177042741386775,0.6177042741386775,0.6032643712073598,0.6177042741386775,0.6032643712073598,0.8584837602887738,0.5005388068722231,0.5971358099956551
saga,elasticnet,multinomial,1000,balanced,1.0,0.5,0.6225443805282365,0.7380929436272717,0.7897012432733347,0.7423612414908298,0.632567393998683,0.6225443805282365,0.632567393998683,0.6225443805282366,0.6225443805282365,0.6225443805282365,0.608908524801054,0.6225443805282365,0.608908524801054,0.8604340493364991,0.5070389679694327,0.602297853601979
saga,l1,ovr,10000,balanced,0.001,,0.5880744726912848,0.6999441958945924,0.7792416651203068,0.6528625041518166,0.5806667038042954,0.5880744726912848,0.5806667038042953,0.5880744726912847,0.5880744726912848,0.5880744726912848,0.5703103495487595,0.5880744726912848,0.5703103495487595,0.8244053474798125,0.4584977698228296,0.5654767992994517
saga,elasticnet,multinomial,10000,,0.01,1.0,0.6154125688130142,0.7342865089251597,0.7967155316385229,0.7241992943475801,0.622246705040201,0.6154125688130142,0.622246705040201,0.6154125688130142,0.6154125688130142,0.6154125688130142,0.6009153082428822,0.6154125688130142,0.6009153082428823,0.8569807093332825,0.4972641868813451,0.5956313333086153
saga,l2,ovr,1000,,0.01,,0.6071410898744357,0.7331543243955799,0.8342549638151792,0.6978842813084394,0.6064731980475776,0.6071410898744357,0.6064731980475776,0.6071410898744355,0.6071410898744357,0.6071410898744357,0.5809381439590781,0.6071410898744357,0.5809381439590778,0.8450422890542754,0.4928578335570489,0.5596372805859395
lbfgs,,ovr,100000,balanced,,,0.6102786540483701,0.7330576990670957,0.8272716026473681,0.7074334171240818,0.6123256009608659,0.6102786540483701,0.6123256009608659,0.6102786540483701,0.6102786540483701,0.6102786540483701,0.5856877824654712,0.6102786540483701,0.5856877824654713,0.8419268723749401,0.4968834777376008,0.5642423714835779
saga,elasticnet,multinomial,100000,balanced,0.001,0.5,0.5896811405950393,0.7095951122062916,0.7902579328261273,0.6644096520478365,0.5824685076873014,0.5896811405950393,0.5824685076873014,0.5896811405950393,0.5896811405950393,0.5896811405950393,0.573291870055115,0.5896811405950393,0.573291870055115,0.836500656350232,0.4600734571976154,0.5709997560966433
saga,elasticnet,multinomial,100000,balanced,0.01,0.0,0.6192475412878086,0.7353247537024803,0.795360920393394,0.7279346373218898,0.6273300096185035,0.6192475412878086,0.6273300096185035,0.6192475412878086,0.6192475412878086,0.6192475412878086,0.604812611259005,0.6192475412878086,0.604812611259005,0.8593463606849472,0.502750077327807,0.5978235052290011
sag,l2,multinomial,100000,,0.01,,0.6192429022082019,0.7353355258691329,0.7953547349539184,0.7279453626445225,0.6273180831085424,0.6192429022082019,0.6273180831085422,0.6192429022082019,0.6192429022082019,0.6192429022082019,0.6048053312823521,0.6192429022082019,0.6048053312823521,0.8593462650740532,0.5027440832356825,0.5978229783117364
