mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_weight_fraction_leaf,param_min_samples_split,param_min_samples_leaf,param_min_impurity_decrease,param_max_leaf_nodes,param_max_features,param_max_depth,param_criterion,param_class_weight,param_ccp_alpha,param_bootstrap,params,split0_test_MCC,split1_test_MCC,split2_test_MCC,mean_test_MCC,std_test_MCC,rank_test_MCC,split0_test_F1,split1_test_F1,split2_test_F1,mean_test_F1,std_test_F1,rank_test_F1,split0_test_Cust_metric,split1_test_Cust_metric,split2_test_Cust_metric,mean_test_Cust_metric,std_test_Cust_metric,rank_test_Cust_metric,split0_test_F1_cl_2,split1_test_F1_cl_2,split2_test_F1_cl_2,mean_test_F1_cl_2,std_test_F1_cl_2,rank_test_F1_cl_2
817.7060290177664,3.5706386585463146,27.699485222498577,0.7694516212741513,2000,0.0,2,20,0.03,,sqrt,3,gini,balanced_subsample,0.01,True,"{'n_estimators': 2000, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 2, 'min_samples_leaf': 20, 'min_impurity_decrease': 0.03, 'max_leaf_nodes': None, 'max_features': 'sqrt', 'max_depth': 3, 'criterion': 'gini', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.01, 'bootstrap': True}",0.0,0.0,0.0,0.0,0.0,947,0.14900864133782094,0.14900645771379512,0.14900645771379512,0.1490071855884704,1.029370237479438e-06,947,0.0,0.0,0.0,0.0,0.0,1023,0.0,0.0,0.0,0.0,0.0,1023
108.97460103034973,0.841725723538015,13.302521228790283,0.18560563567138563,300,0.03,5,20,0.0,10,sqrt,3,entropy,balanced_subsample,0.01,True,"{'n_estimators': 300, 'min_weight_fraction_leaf': 0.03, 'min_samples_split': 5, 'min_samples_leaf': 20, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': 10, 'max_features': 'sqrt', 'max_depth': 3, 'criterion': 'entropy', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.01, 'bootstrap': True}",0.30066139361027805,0.29672125598271715,0.2989779374139614,0.2987868623356522,0.0016142187780664393,454,0.3740868618125139,0.37080520790958305,0.3723767396150133,0.3724229364457034,0.0013401277787409322,446,0.20250840048483848,0.19837294774546607,0.20049142839675776,0.20045759220902074,0.0016884610360909762,423,0.12530826140567203,0.12525985561477115,0.1213926499032882,0.12398692230791046,0.0018345340484142217,471
31.651418765385944,1.6994998386897133,5.798785289128621,0.19851767260344452,100,0.03,2,1,0.03,5,sqrt,5,gini,balanced_subsample,0.0,True,"{'n_estimators': 100, 'min_weight_fraction_leaf': 0.03, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.03, 'max_leaf_nodes': 5, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'gini', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.0, 'bootstrap': True}",0.0,0.0,0.0,0.0,0.0,947,0.06805549175432954,0.012629578438147894,0.14900645771379512,0.07656384263542419,0.05599974598917381,1175,0.10888878680692726,0.030310988251554944,0.0,0.046399925019494075,0.045886326124552415,947,0.0,0.050518313752591575,0.0,0.016839437917530526,0.023814561485711417,947
477.7767943541209,16.005379964572093,19.285033384958904,1.667011452386492,1000,0.0,2,1,0.03,,log2,3,entropy,balanced_subsample,0.01,True,"{'n_estimators': 1000, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.03, 'max_leaf_nodes': None, 'max_features': 'log2', 'max_depth': 3, 'criterion': 'entropy', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.01, 'bootstrap': True}",0.2696340078232135,0.26397146813542083,0.26531645533521286,0.2663073104312824,0.002415565398964533,868,0.3591086545356348,0.3563172411586172,0.3561730437926065,0.35719964649561947,0.001351155553029427,698,0.19414129298454136,0.1900635305196375,0.19153938792850508,0.191914737144228,0.0016857643084275903,837,0.11758422036549543,0.11711140138085464,0.1139642020995393,0.11621994128196311,0.0016066858005224659,722
788.6228003501892,65.57619884273288,26.463300069173176,0.31811802450741555,2000,0.0,10,20,0.03,10,sqrt,5,gini,balanced_subsample,0.01,True,"{'n_estimators': 2000, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 10, 'min_samples_leaf': 20, 'min_impurity_decrease': 0.03, 'max_leaf_nodes': 10, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'gini', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.01, 'bootstrap': True}",0.0,0.0,0.0,0.0,0.0,947,0.14900864133782094,0.14900645771379512,0.14900645771379512,0.1490071855884704,1.029370237479438e-06,947,0.0,0.0,0.0,0.0,0.0,1023,0.0,0.0,0.0,0.0,0.0,1023
218.37344773610434,7.412772988558792,11.7864142258962,1.761799728404842,600,0.03,5,1,0.03,,log2,20,gini,balanced_subsample,0.01,True,"{'n_estimators': 600, 'min_weight_fraction_leaf': 0.03, 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.03, 'max_leaf_nodes': None, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'gini', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.01, 'bootstrap': True}",0.0,0.0,0.0,0.0,0.0,947,0.14900864133782094,0.14900645771379512,0.14900645771379512,0.1490071855884704,1.029370237479438e-06,947,0.0,0.0,0.0,0.0,0.0,1023,0.0,0.0,0.0,0.0,0.0,1023
322.8615493774414,0.467879833854919,15.12697720527649,0.31032840942853224,1000,0.0,10,20,0.03,10,log2,20,gini,balanced_subsample,0.0,True,"{'n_estimators': 1000, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 10, 'min_samples_leaf': 20, 'min_impurity_decrease': 0.03, 'max_leaf_nodes': 10, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'gini', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.0, 'bootstrap': True}",0.0,0.0,0.0,0.0,0.0,947,0.14900864133782094,0.14900645771379512,0.14900645771379512,0.1490071855884704,1.029370237479438e-06,947,0.0,0.0,0.0,0.0,0.0,1023,0.0,0.0,0.0,0.0,0.0,1023
247.49008027712503,6.856882385215581,13.191344340642294,1.0331533786219966,600,0.0,2,4,0.0,5,sqrt,10,entropy,balanced_subsample,0.0,True,"{'n_estimators': 600, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': 5, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'entropy', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.0, 'bootstrap': True}",0.31054221703135665,0.3060132714195805,0.307147652110698,0.30790104685387837,0.001924151729619308,278,0.37822055942240046,0.3744631773637689,0.3752625333214707,0.37598209003588007,0.0016161273428725153,317,0.20506870694319607,0.20285798039533579,0.20272950429570952,0.20355206387808047,0.0010737104411855335,195,0.12844613992999565,0.1283631214359524,0.12338039064010829,0.1267298840020188,0.0023686919531955663,358
213.26287698745728,5.102490415312758,12.539424975713095,0.7584241102353042,600,0.0,5,1,0.0,5,log2,10,gini,balanced_subsample,0.01,True,"{'n_estimators': 600, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': 5, 'max_features': 'log2', 'max_depth': 10, 'criterion': 'gini', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.01, 'bootstrap': True}",0.28322045341334606,0.2817296365766363,0.2820379528537109,0.28232934761456446,0.0006425557771607493,546,0.3574653526785523,0.3573164403953261,0.3565500462439215,0.35711061310593334,0.00040101547942959624,719,0.20719671034575615,0.20371737906001627,0.20600365133753934,0.20563924691443725,0.0014436134031575885,103,0.11605729508513184,0.11796733212341198,0.11496378486669749,0.11632947069174711,0.0012412047108774549,701
244.1443428993225,2.0122350319784967,13.153993527094523,0.5632119705161057,600,0.0,2,20,0.0,5,sqrt,5,entropy,balanced_subsample,0.0,True,"{'n_estimators': 600, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 2, 'min_samples_leaf': 20, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': 5, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'entropy', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.0, 'bootstrap': True}",0.31054221703135665,0.3060132714195805,0.307147652110698,0.30790104685387837,0.001924151729619308,278,0.37822055942240046,0.3744631773637689,0.3752625333214707,0.37598209003588007,0.0016161273428725153,317,0.20506870694319607,0.20285798039533579,0.20272950429570952,0.20355206387808047,0.0010737104411855335,195,0.12844613992999565,0.1283631214359524,0.12338039064010829,0.1267298840020188,0.0023686919531955663,358
